Feature,Estimate,Std Error,t-stat,P-value,95% CI Lower,95% CI Upper
Intercept,82299.93381535275,1818.848171404896,1.182933328838534,0.23684743833424804,78734.99139939915,85864.87623130635
EMPLOYMENT_TYPE_NAME_vec,2151.576122051874,2327.4594900590305,-2.4353544616907197,0.014884530438965982,-2410.244478463826,6713.396722567573
MIN_YEARS_EXPERIENCE,-5668.188853519667,72.59653891416076,91.55633297151003,0.0,-5810.478069791422,-5525.899637247911
MIN_EDULEVELS,6646.672889404088,7.004693930957636,12.25377351924631,0.0,6632.943689299411,6660.402089508765
Feature_4,85.83393300159402,1827.0331728674128,45.04567023607361,0.0,-3495.1510858185347,3666.818951821723
